"t.bucket","td.sum","rt.sum"
1418606430000,2,9
1418606435000,0,5
1418606440000,4,5
1418606445000,3,6
1418606450000,0,6
1418606455000,0,1
1418606460000,1,3
1418606465000,2,9
1418606470000,2,3
1418606475000,1,0
1418606480000,0,4
1418606485000,0,5
1418606490000,0,1
1418606495000,3,9
1418606500000,0,5
1418606505000,1,3
1418606510000,0,4
1418606515000,1,4
1418606520000,0,4
1418606525000,1,1
1418606530000,0,1
1418606535000,0,1
1418606540000,0,1
1418606545000,1,4
1418606550000,1,2
1418606555000,2,3
1418606560000,1,3
1418606565000,1,6
1418606570000,0,2
1418606575000,1,3
1418606580000,0,3
1418606585000,1,2
1418606590000,0,5
1418606595000,1,1
1418606600000,3,3
1418606605000,0,2
1418606610000,0,3
1418606615000,0,5
1418606620000,0,6
1418606625000,2,2
1418606630000,0,0
1418606635000,0,6
1418606640000,0,6
1418606645000,0,5
1418606650000,0,0
1418606655000,0,2
1418606660000,2,6
1418606665000,0,4
1418606670000,1,4
1418606675000,2,3
1418606680000,0,1
1418606685000,1,2
1418606690000,1,1
1418606695000,1,2
1418606700000,0,3
1418606705000,1,3
1418606710000,1,5
1418606715000,3,1
1418606720000,1,4
1418606725000,0,3
1418606730000,0,4
1418606735000,0,0
1418606740000,1,2
1418606745000,0,4
1418606750000,2,4
1418606755000,1,4
1418606760000,0,7
1418606765000,0,2
1418606770000,1,1
1418606775000,2,3
1418606780000,1,9
1418606785000,1,6
1418606790000,1,8
1418606795000,1,7
1418606800000,1,4
1418606805000,0,4
1418606810000,1,2
1418606815000,1,5
1418606820000,1,7
1418606825000,1,6
1418606830000,0,3
1418606835000,1,6
1418606840000,3,12
1418606845000,2,4
1418606850000,0,1
1418606855000,1,2
1418606860000,0,6
1418606865000,0,6
1418606870000,2,7
1418606875000,1,8
1418606880000,1,3
1418606885000,4,6
1418606890000,0,3
1418606895000,1,6
1418606900000,1,2
1418606905000,0,2
1418606910000,4,9
1418606915000,1,6
1418606920000,0,6
1418606925000,2,3
1418606930000,0,5
1418606935000,0,9
1418606940000,0,5
1418606945000,1,7
1418606950000,1,6
1418606955000,0,3
1418606960000,0,5
1418606965000,1,2
1418606970000,0,8
1418606975000,0,6
1418606980000,0,1
1418606985000,0,2
1418606990000,1,6
1418606995000,2,3
1.418607e+12,0,1
1418607005000,2,5
1418607010000,2,5
1418607015000,1,3
1418607020000,2,6
1418607025000,3,6
1418607030000,3,5
1418607035000,1,9
1418607040000,1,4
1418607045000,3,3
1418607050000,1,5
1418607055000,0,4
1418607060000,0,1
1418607065000,2,1
1418607070000,0,2
1418607075000,0,2
1418607080000,0,3
1418607085000,0,2
1418607090000,4,7
1418607095000,2,3
1418607100000,2,10
1418607105000,0,8
1418607110000,1,6
1418607115000,0,9
1418607120000,2,6
1418607125000,0,9
1418607130000,1,4
1418607135000,2,8
1418607140000,0,9
1418607145000,0,4
1418607150000,4,9
1418607155000,2,8
1418607160000,0,2
1418607165000,2,8
1418607170000,2,2
1418607175000,6,11
1418607180000,7,13
1418607185000,1,6
1418607190000,3,10
1418607195000,6,5
1418607200000,4,14
1418607205000,0,13
1418607210000,1,15
1418607215000,3,13
1418607220000,5,10
1418607225000,3,8
1418607230000,3,10
1418607235000,1,7
1418607240000,7,6
1418607245000,12,10
1418607250000,6,7
1418607255000,5,3
1418607260000,0,2
1418607265000,5,6
1418607270000,2,5
1418607275000,4,6
1418607280000,1,4
1418607285000,0,5
1418607290000,2,7
1418607295000,3,5
1418607300000,3,6
1418607305000,6,8
1418607310000,3,9
1418607315000,2,14
1418607320000,4,9
1418607325000,3,6
1418607330000,2,12
1418607335000,1,9
1418607340000,6,6
1418607345000,1,13
1418607350000,8,7
1418607355000,4,3
1418607360000,1,8
1418607365000,2,11
1418607370000,6,7
1418607375000,3,14
1418607380000,4,6
1418607385000,4,7
1418607390000,8,11
1418607395000,16,4
1418607400000,61,6
1418607405000,189,5
1418607410000,343,12
1418607415000,761,37
1418607420000,1137,176
1418607425000,1055,284
1418607430000,1020,345
1418607435000,849,546
1418607440000,674,438
1418607445000,562,397
1418607450000,491,356
1418607455000,453,403
1418607460000,394,362
1418607465000,391,364
1418607470000,354,343
1418607475000,306,304
1418607480000,272,267
1418607485000,247,233
1418607490000,207,218
1418607495000,188,187
1418607500000,181,187
1418607505000,162,174
1418607510000,155,166
1418607515000,148,158
1418607520000,142,157
1418607525000,116,145
1418607530000,122,144
1418607535000,89,121
1418607540000,107,120
1418607545000,99,117
1418607550000,105,115
1418607555000,98,113
