team	players	description	reversed	nullified	week	scorer	timestamp	off-turnover	manual-adjustment	comments	time-since-last
DAL	J.Randle	(14:03) J.Randle right end for 37 yards, TOUCHDOWN. Randle orginally ran off tackle before changing course and running around the end.	FALSE	FALSE	3	Joseph Randle	1443373567681	FALSE	FALSE		0
NE	D.Lewis	(11:59) D.Lewis right guard for 8 yards, TOUCHDOWN.	FALSE	FALSE	3	Dion Lewis	1443373824986	FALSE	FALSE		257.305
CIN	A.Dalton	(7:27) (No Huddle, Shotgun) A.Dalton scrambles up the middle for 7 yards, TOUCHDOWN.	FALSE	FALSE	3	Andy Dalton	1443374306871	FALSE	FALSE		481.885
DAL	J.Randle	(7:12) J.Randle up the middle for 1 yard, TOUCHDOWN.	FALSE	FALSE	3	Joseph Randle	1443374353499	FALSE	FALSE		46.628
HOU	R.Mallett+D.Hopkins	(5:02) (Shotgun) R.Mallett pass short right to D.Hopkins for 5 yards, TOUCHDOWN.	FALSE	FALSE	3	DeAndre Hopkins	1443374539055	FALSE	FALSE		185.556
IND	F.Gore	(5:46) (Shotgun) F.Gore left guard for 1 yard, TOUCHDOWN.	FALSE	FALSE	3	Frank Gore	1443374588337	FALSE	FALSE		49.282
ATL	D.Freeman	(3:05) D.Freeman left end for 3 yards, TOUCHDOWN.	FALSE	FALSE	3	Devonta Freeman	1443375035508	FALSE	FALSE		447.171
NO	M.Ingram	(11:50) M.Ingram right end for 5 yards, TOUCHDOWN.	FALSE	FALSE	3	Mark Ingram	1443375513677	FALSE	FALSE		478.169
IND	M.Mariota+D.Walker+D.Lowery+J.Thomas	(13:12) (Shotgun) M.Mariota pass short right intended for D.Walker INTERCEPTED by D.Lowery (J.Thomas) at IND 31. D.Lowery for 69 yards, TOUCHDOWN.	FALSE	FALSE	3	Dwight Lowery	1443375772015	TRUE	TRUE	Fixed team	258.338
NYJ	R.Quigley+D.Sproles	(12:32) R.Quigley punts 54 yards to PHI 11, Center-T.Purdum. D.Sproles for 89 yards, TOUCHDOWN.	FALSE	FALSE	3	Darren Sproles	1443376001756	FALSE	TRUE	Fixed team	229.741
CIN	M.Jones+A.Dalton	(12:23) (No Huddle) A.Dalton pass deep middle to M.Jones for 16 yards, TOUCHDOWN. No. 23 - Lewis (BAL) injured on play.	FALSE	FALSE	3	Marvin Jones	1443376203202	FALSE	FALSE		201.446
TEN	J.Poutasi	(9:34) A.Andrews right tackle for 13 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on TEN-J.Poutasi, Offensive Holding, 10 yards, enforced at IND 13 - No Play.	FALSE	TRUE	3	Antonio Andrews	1443376203370	FALSE	FALSE		0.168
CAR	R.Brockel	(5:55) (Shotgun) C.Newton pass short left to G.Olsen for 4 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on CAR-R.Brockel, Offensive Pass Interference, 10 yards, enforced at NO 4 - No Play.	FALSE	TRUE	3	Greg Olsen	1443376327247	FALSE	FALSE		123.877
