t,value
1440870970,null
1440870971,null
1440870972,null
1440870973,null
1440870974,null
1440870975,0
1440870976,0
1440870977,0
1440870978,0
1440870979,0
1440870980,1/89
1440870981,1/89
1440870982,1/89
1440870983,1/89
1440881904,null
1440881905,null
1440881906,null
1440881907,null
1440881908,null
1440881909,3/281
1440881910,3/281
1440881911,3/281
1440881912,3/281
1440881913,3/281
1440881914,11/1057
1440881915,11/1057
1440881916,11/1057
1440881917,11/1057
1440881918,11/1057
1440881919,5/246
1440881920,5/246
1440881921,5/246
1440881922,5/246
1440881923,5/246
1440881924,0
1440881925,0
1440881926,0
1440881927,0
1440881928,0
1440881929,0
1440881930,0
1440881931,0
1440881932,0
1440881933,0
1440881934,0
1440881935,0
1440881936,0
1440881937,0
1440881938,0
1440881939,0
1440881940,0
1440881941,0
1440881942,0
1440881943,0
1440881944,14/1467
1440881945,14/1467
1440881946,14/1467
1440881947,14/1467
1440881948,14/1467
1440881949,26/1221
1440881950,26/1221
1440881951,26/1221
1440881952,26/1221
1440881953,26/1221
1440881954,0
1440881955,0
1440881956,0
1440881957,0
1440881958,0
1440881959,0
1440881960,0
1440881961,0
1440881962,0
1440881963,0
1440881964,35/3433
1440881965,35/3433
1440881966,35/3433
1440881967,35/3433
1440881968,35/3433
1440881969,0
1440881970,0
1440881971,0
1440881972,0
1440881973,0
1440881974,11/1206
1440881975,11/1206
1440881976,11/1206
1440881977,11/1206
1440881978,11/1206
1440881979,0
1440881980,0
1440881981,0
1440881983,0
1440881983,0
1440881984,5/471
1440881985,5/471
1440881986,5/471
1440881987,5/471
1440881988,5/471
1440881989,31/3039
1440881990,31/3039
1440881991,31/3039
1440881992,31/3039
1440881993,31/3039
1440881994,0
1440881995,0
1440881996,0
1440881997,0
1440881998,0
1440881999,0
1440882000,0
1440882001,0
1440882002,0
1440882003,0
1440882004,0
1440882005,0
1440882006,0
1440882007,0
1440882008,0
1440882009,38/3903
1440882010,38/3903
1440882011,38/3903
1440882012,38/3903
1440882013,38/3903
1440882014,0
1440882015,0
1440882016,0
1440882017,0
1440882018,0
1440882019,26/1341
1440882020,26/1341
1440882021,26/1341
1440882022,26/1341
1440882023,26/1341
1440882024,25/2614
1440882025,25/2614
1440882026,25/2614
1440882027,25/2614
1440882028,25/2614
1440882029,4/403
1440882030,4/403
1440882031,4/403
1440882032,4/403
1440882033,4/403
1440882034,13/1336
1440882035,13/1336
1440882036,13/1336
1440882037,13/1336
1440882038,13/1336
1440882039,0
1440882040,0
1440882041,0
1440882042,0
1440882043,0
1440882044,19/676
1440882045,19/676
1440882046,19/676
1440882047,19/676
1440882048,19/676
1440882049,0
1440882050,0
1440882051,0
1440882052,0
1440882053,0
1440882054,13/1464
1440882055,13/1464
1440882056,13/1464
1440882057,13/1464
1440882058,13/1464
1440882059,0
1440882060,0
1440882061,0
1440882062,0
1440882063,0
1440882064,15/898
1440882065,15/898
1440882066,15/898
1440882067,15/898
1440882068,15/898
1440882069,0
1440882070,0
1440882071,0
1440882072,0
1440882073,0
1440882074,25/2361
1440882075,25/2361
1440882076,25/2361
1440882077,25/2361
1440882078,25/2361
1440882079,0
1440882080,0
1440882081,0
1440882082,0
1440882083,0
1440882084,19/1993
1440882085,19/1993
1440882086,19/1993
1440882087,19/1993
1440882088,19/1993
1440882089,16/1473
1440882090,16/1473
1440882091,16/1473
1440882092,16/1473
1440882093,16/1473
1440882094,0
1440882095,0
1440882096,0
1440882097,0
1440882098,0
1440882099,11/1032
1440882100,11/1032
1440882101,11/1032
1440882102,11/1032
1440882103,11/1032
1440882104,0
1440882105,0
1440882106,0
1440882107,0
1440882108,0
1440882109,17/1767
1440882110,17/1767
1440882111,17/1767
1440882112,17/1767
1440882113,17/1767
1440882114,0
1440882115,0
1440882116,0
1440882117,0
1440882118,0
1440882119,7/656
1440882120,7/656
1440882121,7/656
1440882122,7/656
1440882123,7/656
1440882124,19/1980
1440882125,19/1980
1440882126,19/1980
1440882127,19/1980
1440882128,19/1980
1440882129,0
1440882130,0
1440882131,0
1440882132,0
1440882133,0
1440882134,0
1440882135,0
1440882136,0
1440882137,0
1440882138,0
1440882139,28/1651
1440882140,28/1651
1440882141,28/1651
1440882142,28/1651
1440882143,28/1651
1440882144,34/1551
1440882145,34/1551
1440882146,34/1551
1440882147,34/1551
1440882148,34/1551
1440882149,0
1440882150,0
1440882151,0
1440882152,0
1440882153,0
1440882154,44/2197
1440882155,44/2197
1440882156,44/2197
1440882157,44/2197
1440882158,44/2197
1440882159,0
1440882160,0
1440882161,0
1440882162,0
1440882163,0
1440882164,24/2507
1440882165,24/2507
1440882166,24/2507
1440882167,24/2507
1440882168,24/2507
1440882169,0
1440882170,0
1440882171,0
1440882172,0
1440882173,0
1440882174,0
1440882175,0
1440882176,0
1440882177,0
1440882178,0
1440882179,0
1440882180,0
1440882181,0
1440882182,0
1440882183,0
1440882184,0
1440882185,0
1440882186,0
1440882187,0
1440882188,0
1440882189,54/1867
1440882190,54/1867
1440882191,54/1867
1440882192,54/1867
1440882193,54/1867
1440882194,0
1440882195,0
1440882196,0
1440882197,0
1440882198,0
1440882199,19/2019
1440882200,19/2019
1440882201,19/2019
1440882202,19/2019
1440882203,19/2019
1440882204,3/376
1440882205,3/376
1440882206,3/376
1440882207,3/376
1440882208,3/376
1440882209,0
1440882210,0
1440882211,0
1440882212,0
1440882213,0
1440882214,0
1440882215,0
1440882216,0
1440882217,0
1440882218,0
1440882219,0
1440882220,0
1440882221,0
1440882222,0
1440882223,0
1440882224,0
1440882225,0
1440882226,0
1440882227,0
1440882228,0
1440882229,10/967
1440882230,10/967
1440882231,10/967
1440882232,10/967
1440882233,10/967
1440882234,13/1148
1440882235,13/1148
1440882236,13/1148
1440882237,13/1148
1440882238,13/1148
1440882239,6/635
1440882240,6/635
1440882241,6/635
1440882242,6/635
1440882243,6/635
1440882244,0
1440882245,0
1440882246,0
1440882247,0
1440882248,0
1440882249,0
1440882250,0
1440882251,0
1440882252,0
1440882253,0
1440882254,0
1440882255,0
1440882256,0
1440882257,0
1440882258,0
1440882259,4/373
1440882260,4/373
1440882261,4/373
1440882262,4/373
1440882263,4/373
1440882264,5/491
1440882265,5/491
1440882266,5/491
1440882267,5/491
1440882268,5/491
1440882269,32/857
1440882270,32/857
1440882271,32/857
1440882272,32/857
1440882273,32/857
1440882274,51/1783
1440882275,51/1783
1440882276,51/1783
1440882277,51/1783
1440882278,51/1783
1440882279,18/1945
1440882280,18/1945
1440882281,18/1945
1440882282,18/1945
1440882283,18/1945
1440882284,0
1440882285,0
1440882286,0
1440882287,0
1440882288,0
1440882289,0
1440882290,0
1440882291,0
1440882292,0
1440882293,0
1440882294,3479/7061
1440882295,3479/7061
1440882296,3479/7061
1440882297,3479/7061
1440882298,3479/7061
1440882299,600/3193
1440882300,600/3193
1440882301,600/3193
1440882302,600/3193
1440882303,600/3193
1440882304,20/609
1440882305,20/609
1440882306,20/609
1440882307,20/609
1440882308,20/609
1440882309,0
1440882310,0
1440882311,0
1440882312,0
1440882313,0
1440882314,13/1364
1440882315,13/1364
1440882316,13/1364
1440882317,13/1364
1440882318,13/1364
1440882319,21/769
1440882320,21/769
1440882321,21/769
1440882322,21/769
1440882323,21/769
1440882324,0
1440882325,0
1440882326,0
1440882327,0
1440882328,0
1440882329,12/1177
1440882330,12/1177
