t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1440882304,1,4.488420,0.000000,0.000000,0.000000,events/second
1440882305,1,0.820034,0.000000,0.000000,0.000000,events/second
1440882306,1,0.450655,0.000000,0.000000,0.000000,events/second
1440882307,1,0.310944,0.000000,0.000000,0.000000,events/second
1440882308,1,0.236757,0.000000,0.000000,0.000000,events/second
1440882309,1,0.191656,0.200000,0.200000,0.200000,events/second
1440882310,1,0.160754,0.200000,0.200000,0.200000,events/second
1440882311,1,0.138520,0.200000,0.200000,0.200000,events/second
1440882312,1,0.121646,0.200000,0.200000,0.200000,events/second
1440882313,1,0.108443,0.200000,0.200000,0.200000,events/second
1440882314,1,0.097813,0.184009,0.196694,0.198892,events/second
1440882315,1,0.089142,0.184009,0.196694,0.198892,events/second
1440882316,1,0.081835,0.184009,0.196694,0.198892,events/second
1440882317,1,0.075246,0.184009,0.196694,0.198892,events/second
1440882318,1,0.070335,0.184009,0.196694,0.198892,events/second
1440882319,1,0.065724,0.169296,0.193443,0.197790,events/second
1440882320,1,0.061640,0.169296,0.193443,0.197790,events/second
1440882321,1,0.058070,0.169296,0.193443,0.197790,events/second
1440882322,1,0.054889,0.169296,0.193443,0.197790,events/second
1440882323,1,0.052019,0.169296,0.193443,0.197790,events/second
1440882324,1,0.049447,0.155760,0.190246,0.196694,events/second
1440882325,1,0.047122,0.155760,0.190246,0.196694,events/second
1440882326,1,0.044999,0.155760,0.190246,0.196694,events/second
1440882327,1,0.043069,0.155760,0.190246,0.196694,events/second
1440882328,1,0.041291,0.155760,0.190246,0.196694,events/second
1440882329,1,0.039642,0.143306,0.187101,0.195605,events/second
1440882330,1,0.038135,0.143306,0.187101,0.195605,events/second
1440882331,1,0.036737,0.143306,0.187101,0.195605,events/second
1440882332,1,0.035437,0.143306,0.187101,0.195605,events/second
1440882333,1,0.034219,0.143306,0.187101,0.195605,events/second
1440882334,1,0.033092,0.131848,0.184009,0.194521,events/second
1440882335,1,0.032036,0.131848,0.184009,0.194521,events/second
1440882336,1,0.031038,0.131848,0.184009,0.194521,events/second
1440882337,1,0.030103,0.131848,0.184009,0.194521,events/second
1440882338,1,0.029227,0.131848,0.184009,0.194521,events/second
1440882339,1,0.028390,0.121306,0.180967,0.193443,events/second
1440882340,1,0.027613,0.121306,0.180967,0.193443,events/second
1440882341,1,0.026868,0.121306,0.180967,0.193443,events/second
1440882342,1,0.026168,0.121306,0.180967,0.193443,events/second
1440882343,1,0.025497,0.121306,0.180967,0.193443,events/second
1440882344,1,0.024864,0.111607,0.177976,0.192372,events/second
1440882345,1,0.024262,0.111607,0.177976,0.192372,events/second
1440882346,1,0.023683,0.111607,0.177976,0.192372,events/second
1440882347,1,0.023135,0.111607,0.177976,0.192372,events/second
1440882348,1,0.022614,0.111607,0.177976,0.192372,events/second
1440882349,1,0.022114,0.102683,0.175035,0.191306,events/second
1440882350,1,0.021635,0.102683,0.175035,0.191306,events/second
1440882351,1,0.021180,0.102683,0.175035,0.191306,events/second
