week	home	away	start-time
1	NE	PIT	2015-09-11T00:30:00Z
1	CHI	GB	2015-09-13T17:00:00Z
1	HOU	KC	2015-09-13T17:00:00Z
1	NYJ	CLE	2015-09-13T17:00:00Z
1	BUF	IND	2015-09-13T17:00:00Z
1	WAS	MIA	2015-09-13T17:00:00Z
1	JAC	CAR	2015-09-13T17:00:00Z
1	STL	SEA	2015-09-13T17:00:00Z
1	ARI	NO	2015-09-13T20:05:00Z
1	SD	DET	2015-09-13T20:05:00Z
1	TB	TEN	2015-09-13T20:25:00Z
1	OAK	CIN	2015-09-13T20:25:00Z
1	DEN	BAL	2015-09-13T20:25:00Z
1	DAL	NYG	2015-09-14T00:30:00Z
1	ATL	PHI	2015-09-14T23:10:00Z
1	SF	MIN	2015-09-15T02:20:00Z
2	KC	DEN	2015-09-18T00:25:00Z
2	CAR	HOU	2015-09-20T17:00:00Z
2	PIT	SF	2015-09-20T17:00:00Z
2	NO	TB	2015-09-20T17:00:00Z
2	MIN	DET	2015-09-20T17:00:00Z
2	CHI	ARI	2015-09-20T17:00:00Z
2	BUF	NE	2015-09-20T17:00:00Z
2	CIN	SD	2015-09-20T17:00:00Z
2	CLE	TEN	2015-09-20T17:00:00Z
2	NYG	ATL	2015-09-20T17:00:00Z
2	WAS	STL	2015-09-20T17:00:00Z
2	JAC	MIA	2015-09-20T20:05:00Z
2	OAK	BAL	2015-09-20T20:05:00Z
2	PHI	DAL	2015-09-20T20:25:00Z
2	GB	SEA	2015-09-21T00:30:00Z
2	IND	NYJ	2015-09-22T00:30:00Z
3	NYG	WAS	2015-09-25T00:25:00Z
3	DAL	ATL	2015-09-27T17:00:00Z
3	TEN	IND	2015-09-27T17:00:00Z
3	CLE	OAK	2015-09-27T17:00:00Z
3	BAL	CIN	2015-09-27T17:00:00Z
3	NE	JAC	2015-09-27T17:00:00Z
3	CAR	NO	2015-09-27T17:00:00Z
3	NYJ	PHI	2015-09-27T17:00:00Z
3	HOU	TB	2015-09-27T17:00:00Z
3	MIN	SD	2015-09-27T17:00:00Z
3	STL	PIT	2015-09-27T17:00:00Z
3	ARI	SF	2015-09-27T20:05:00Z
3	MIA	BUF	2015-09-27T20:25:00Z
3	SEA	CHI	2015-09-27T20:25:00Z
3	DET	DEN	2015-09-28T00:30:00Z
3	GB	KC	2015-09-29T00:30:00Z
4	PIT	BAL	2015-10-02T00:25:00Z
4	MIA	NYJ	2015-10-04T13:30:00Z
4	IND	JAC	2015-10-04T17:00:00Z
4	BUF	NYG	2015-10-04T17:00:00Z
4	TB	CAR	2015-10-04T17:00:00Z
4	WAS	PHI	2015-10-04T17:00:00Z
4	CHI	OAK	2015-10-04T17:00:00Z
4	ATL	HOU	2015-10-04T17:00:00Z
4	CIN	KC	2015-10-04T17:00:00Z
4	SD	CLE	2015-10-04T20:05:00Z
4	SF	GB	2015-10-04T20:25:00Z
4	ARI	STL	2015-10-04T20:25:00Z
4	DEN	MIN	2015-10-04T20:25:00Z
4	NO	DAL	2015-10-05T00:30:00Z
4	SEA	DET	2015-10-06T00:30:00Z
5	HOU	IND	2015-10-09T00:25:00Z
5	KC	CHI	2015-10-11T17:00:00Z
5	CIN	SEA	2015-10-11T17:00:00Z
5	ATL	WAS	2015-10-11T17:00:00Z
5	TB	JAC	2015-10-11T17:00:00Z
5	PHI	NO	2015-10-11T17:00:00Z
5	BAL	CLE	2015-10-11T17:00:00Z
5	GB	STL	2015-10-11T17:00:00Z
5	TEN	BUF	2015-10-11T17:00:00Z
5	DET	ARI	2015-10-11T20:05:00Z
5	DAL	NE	2015-10-11T20:25:00Z
5	OAK	DEN	2015-10-11T20:25:00Z
5	NYG	SF	2015-10-12T00:30:00Z
5	SD	PIT	2015-10-13T00:30:00Z
6	NO	ATL	2015-10-16T00:25:00Z
